Age;Gender;Marital Status;Occupation;Monthly Income;Educational Qualifications;Family size;latitude;longitude;Pin code;Medium (P1);Medium (P2);Meal(P1);Meal(P2);Perference(P1);Perference(P2);Ease and convenient;Time saving;More restaurant choices;Easy Payment option;More Offers and Discount;Good Food quality;Good Tracking system;Self Cooking;Health Concern;Late Delivery;Poor Hygiene;Bad past experience;Unavailability;Unaffordable;Long delivery time;Delay of delivery person getting assigned;Delay of delivery person picking up food;Wrong order delivered;Missing item;Order placed by mistake;Influence of time;Order Time;Maximum wait time;Residence in busy location;Google Maps Accuracy;Good Road Condition;Low quantity low time;Delivery person ability;Influence of rating;Less Delivery time;High Quality of package;Number of calls;Politeness;Freshness ;Temperature;Good Taste ;Good Quantity;Output;Reviews
23;Male;Single;Student;No Income;Post Graduate;4;129.925;775.633;560021;Food delivery apps; Direct call;Lunch; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Disagree;Agree;Agree;Agree;Neutral;Neutral;Strongly agree;Strongly agree;Disagree;Agree;Disagree;Disagree;Strongly agree;Agree;Agree;Agree;Strongly agree;Strongly agree;Agree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Agree;Agree;Neutral;Strongly Agree;Yes;Important;Important;Moderately Important;Important;Very Important;Important;Important;Important;Yes;NIL
22;Female;Single;Student;No Income;Post Graduate;5;12.985;775.533;560010;Walk-in; Direct call;Snacks; Dinner;Non Veg foods (Lunch / Dinner); Bakery items (snacks);Agree;Agree;Agree;Agree;Disagree;Neutral;Agree;Strongly agree;Strongly agree;Neutral;Agree;Neutral;Agree;Agree;Agree;Agree;Neutral;Agree;Disagree;Disagree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Strongly Agree;Strongly Agree;Strongly disagree;Agree;Yes;Important;Very Important;Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;NIL
22;Male;Single;Student;No Income;Graduate;5;12.985;775.533;560010;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Agree;Agree;Agree;Agree;Agree;Disagree;Neutral;Disagree;Disagree;Agree;Agree;Agree;Disagree;Disagree;Agree;Disagree;Agree;Agree;Agree;Agree;Yes;Anytime (Mon-Sun);30 minutes;Neutral;Agree;Agree;Disagree;Agree;Yes;Important;Important;Slightly Important;Moderately Important;Very Important;Important;Important;Important;Yes;NIL
27;Female;Married;Self Employeed;10001 to 25000;Post Graduate;2;129.261;776.221;560034;Food delivery apps; Direct call;Breakfast; Lunch;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Neutral;Disagree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Neutral;Strongly agree;Strongly agree;Agree;Strongly agree;Neutral;Disagree;Agree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Strongly Agree;Agree;Strongly Agree;Agree;No;Very Important;Moderately Important;Important;Moderately Important;Very Important;Very Important;Important;Moderately Important;Yes;NIL
24;Female;Single;Student;No Income;Post Graduate;3;12.977;775.773;560009;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Agree;Neutral;Agree;Neutral;Agree;Neutral;Strongly agree;Neutral;Strongly agree;Agree;Agree;Neutral;Agree;Neutral;Neutral;Strongly agree;Strongly agree;Strongly agree;Maybe;Anytime (Mon-Sun);45 minutes;Agree;Strongly Agree;Agree;Disagree;Agree;Yes;Moderately Important;Very Important;Unimportant;Important;Very Important;Important;Very Important;Very Important;Yes;NIL
23;Male;Single;Student;No Income;Post Graduate;2;12.977;775.773;560009;Food delivery apps; Walk-in;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Neutral;Disagree;Neutral;Disagree;Neutral;Neutral;Agree;Neutral;Disagree;Disagree;Agree;Neutral;Neutral;Neutral;Agree;Neutral;Disagree;Neutral;Neutral;Disagree;Yes;Weekend (Sat & Sun);30 minutes;Neutral;Disagree;Neutral;Disagree;Neutral;Yes;Moderately Important;Slightly Important;Moderately Important;Slightly Important;Slightly Important;Unimportant;Slightly Important;Slightly Important;Yes;-
23;Female;Single;Student;No Income;Graduate;3;12.982;776.256;560008;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Disagree;Disagree;Disagree;Agree;Neutral;Neutral;Neutral;Strongly agree;Neutral;Disagree;Strongly disagree;Disagree;Disagree;Disagree;Agree;Disagree;Agree;Yes;Anytime (Mon-Sun);45 minutes;Disagree;Agree;Neutral;Agree;Neutral;Yes;Important;Very Important;Slightly Important;Important;Very Important;Very Important;Very Important;Important;Yes;Spillage, bad packaging and missing items 
22;Female;Single;Student;10001 to 25000;Post Graduate;5;12.985;775.533;560010;Walk-in; Direct call;Dinner; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Agree;Neutral;Neutral;Neutral;Agree;Agree;Agree;Neutral;Neutral;Disagree;Yes;Weekend (Sat & Sun);15 minutes;Agree;Agree;Agree;Agree;Agree;Yes;Important;Important;Moderately Important;Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
23;Female;Single;Student;No Income;Graduate;5;130.206;776.479;560043;Food delivery apps; Direct call;Lunch; Snacks;Veg foods (Breakfast / Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Agree;Agree;Neutral;Agree;Neutral;Neutral;Agree;Neutral;Agree;Agree;Neutral;Agree;Disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Weekdays (Mon-Fri);45 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Slightly Important;Moderately Important;Slightly Important;Slightly Important;Important;Important;Important;Important;Yes;Nil
23;Female;Single;Student;No Income;Post Graduate;2;12.977;775.773;560009;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Maybe;Anytime (Mon-Sun);45 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Maybe;Important;Important;Unimportant;Important;Very Important;Very Important;Very Important;Very Important;Yes;NiL
24;Male;Single;Student;No Income;Post Graduate;3;12.977;775.773;560009;Food delivery apps; Walk-in;Snacks; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Agree;Strongly agree;Neutral;Strongly agree;Agree;Neutral;Neutral;Disagree;Agree;Agree;Strongly agree;Agree;Agree;Disagree;Strongly agree;Strongly agree;Agree;Strongly agree;Strongly agree;Strongly disagree;Yes;Weekend (Sat & Sun);30 minutes;Strongly Agree;Agree;Agree;Agree;Agree;Yes;Slightly Important;Important;Important;Important;Very Important;Important;Very Important;Important;Yes;No
25;Male;Single;Student;No Income;Post Graduate;2;129.635;775.821;560002;Walk-in; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Agree;Agree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Agree;Agree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Agree;Agree;Agree;Agree;Yes;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Yes;N0
22;Male;Single;Student;No Income;Post Graduate;3;129.306;775.434;560085;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Sweets;Agree;Agree;Strongly agree;Agree;Agree;Agree;Strongly agree;Neutral;Neutral;Disagree;Neutral;Disagree;Disagree;Disagree;Agree;Neutral;Neutral;Agree;Agree;Strongly agree;Yes;Weekend (Sat & Sun);45 minutes;Agree;Agree;Neutral;Neutral;Agree;Yes;Important;Important;Important;Important;Important;Important;Important;Important;Yes;Nil
28;Female;Married;Student;No Income;Graduate;2;130.067;77.545;560086;Food delivery apps; Direct call;Lunch; Dinner;Veg foods (Breakfast / Lunch / Dinner); Sweets;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Disagree;Strongly agree;Agree;Strongly agree;Agree;Strongly agree;Strongly agree;Disagree;Strongly agree;Neutral;Strongly agree;Yes;Anytime (Mon-Sun);30 minutes;Disagree;Neutral;Disagree;Neutral;Strongly Agree;Yes;Very Important;Very Important;Moderately Important;Very Important;Very Important;Moderately Important;Very Important;Moderately Important;Yes;I have normally had good experiences with swiggy especially for payments and refunds
22;Female;Single;Student;No Income;Post Graduate;1;128.845;776.036;560076;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Neutral;Neutral;Agree;Neutral;Neutral;Strongly agree;Agree;Neutral;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Agree;Agree;Agree;Agree;Maybe;Anytime (Mon-Sun);60 minutes;Agree;Agree;Strongly Agree;Neutral;Neutral;Yes;Very Important;Important;Moderately Important;Important;Very Important;Important;Very Important;Very Important;Yes;NIL
24;Female;Single;Student;No Income;Graduate;3;12.977;775.773;560009;Food delivery apps; Direct call;Lunch; Snacks;Non Veg foods (Lunch / Dinner); Bakery items (snacks);Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Neutral;Neutral;Agree;Agree;Strongly agree;Agree;Strongly agree;Neutral;Agree;Agree;Strongly agree;Agree;Agree;Agree;Agree;Yes;Weekend (Sat & Sun);60 minutes;Agree;Strongly Agree;Agree;Neutral;Agree;Yes;Slightly Important;Moderately Important;Unimportant;Slightly Important;Very Important;Very Important;Important;Very Important;Yes;NIL
31;Male;Married;Employee;More than 50000;Ph.D;5;129.119;776.446;560102;Walk-in; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Agree;Neutral;Neutral;Disagree;Neutral;Neutral;Strongly agree;Agree;Neutral;Neutral;Disagree;Disagree;Strongly disagree;Agree;Agree;Agree;Neutral;Neutral;Disagree;Yes;Weekend (Sat & Sun);45 minutes;Agree;Neutral;Disagree;Agree;Agree;Maybe;Important;Important;Moderately Important;Important;Important;Important;Important;Important;Yes;NIL
25;Male;Single;Student;No Income;Post Graduate;4;130.067;77.545;560086;Food delivery apps; Walk-in;Snacks; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Neutral;Strongly agree;Strongly agree;Strongly agree;Neutral;Agree;Disagree;Neutral;Strongly agree;Neutral;Disagree;Disagree;Agree;Neutral;Strongly agree;Agree;Strongly agree;Strongly agree;Agree;Yes;Anytime (Mon-Sun);30 minutes;Neutral;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Yes;Important;Very Important;Important;Important;Very Important;Very Important;Very Important;Very Important;Yes;NIL
23;Male;Single;Student;No Income;Post Graduate;5;128.988;775.764;560078;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Neutral;Neutral;Neutral;Strongly agree;Strongly agree;Strongly agree;Agree;Disagree;Disagree;Disagree;Strongly agree;Strongly agree;Agree;Maybe;Weekend (Sat & Sun);60 minutes;Agree;Agree;Agree;Disagree;Strongly Agree;Maybe;Very Important;Very Important;Very Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
22;Male;Single;Student;No Income;Post Graduate;3;128.845;776.036;560076;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Neutral;Strongly agree;Strongly agree;Agree;Neutral;Agree;Agree;Neutral;Agree;Agree;Neutral;Strongly disagree;Neutral;Agree;Neutral;Neutral;Agree;Disagree;Agree;Maybe;Anytime (Mon-Sun);30 minutes;Strongly Agree;Agree;Neutral;Agree;Neutral;No;Very Important;Very Important;Important;Important;Very Important;Important;Very Important;Very Important;Yes;Nill
23;Male;Single;Student;25001 to 50000;Post Graduate;1;130.158;77.539;560096;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Neutral;Strongly disagree;Strongly disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Disagree;Neutral;Neutral;Strongly disagree;Strongly disagree;Neutral;No;Weekend (Sat & Sun);60 minutes;Disagree;Disagree;Neutral;Strongly disagree;Strongly disagree;Yes;Very Important;Very Important;Slightly Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;NIL
23;Male;Single;Student;No Income;Graduate;4;129.343;776.044;560029;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly disagree;Neutral;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Disagree;Maybe;Weekend (Sat & Sun);30 minutes;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Neutral;Yes;Very Important;Very Important;Moderately Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
23;Female;Single;Student;No Income;Post Graduate;2;130.019;775.713;560003;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Agree;Strongly agree;Strongly agree;Agree;Strongly agree;Neutral;Agree;Strongly disagree;Strongly agree;Strongly agree;Agree;Disagree;Strongly agree;Neutral;Maybe;Anytime (Mon-Sun);45 minutes;Disagree;Strongly disagree;Neutral;Strongly disagree;Strongly Agree;Yes;Moderately Important;Moderately Important;Very Important;Very Important;Very Important;Important;Very Important;Moderately Important;Yes;NIL
25;Male;Single;Student;No Income;Post Graduate;6;130.012;775.995;560046;Food delivery apps; Walk-in;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Agree;Neutral;Agree;Agree;Neutral;Neutral;Agree;Agree;Agree;Strongly agree;Agree;Neutral;Agree;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Weekend (Sat & Sun);60 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Important;Important;Important;Important;Important;Important;Important;Important;Yes;No
24;Male;Single;Employee;10001 to 25000;Graduate;4;129.442;776.076;560030;Food delivery apps; Web browser;Lunch; Snacks;Non Veg foods (Lunch / Dinner); Bakery items (snacks);Neutral;Neutral;Disagree;Neutral;Disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Disagree;Disagree;Strongly disagree;Disagree;Neutral;Disagree;Strongly disagree;Neutral;Neutral;Disagree;Neutral;Maybe;Anytime (Mon-Sun);30 minutes;Strongly disagree;Disagree;Neutral;Disagree;Disagree;Yes;Slightly Important;Important;Important;Moderately Important;Moderately Important;Very Important;Very Important;Very Important;Yes;Good
23;Female;Single;Student;No Income;Post Graduate;4;130.487;775.923;560024;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Neutral;Neutral;Strongly agree;Strongly agree;Neutral;Disagree;Neutral;Strongly agree;Agree;Neutral;Disagree;Agree;Agree;Agree;Strongly agree;Agree;Neutral;Yes;Weekend (Sat & Sun);45 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Important;Important;Moderately Important;Moderately Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
23;Female;Single;Student;No Income;Post Graduate;4;130.487;775.923;560024;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Neutral;Neutral;Strongly agree;Strongly agree;Neutral;Disagree;Neutral;Strongly agree;Agree;Neutral;Disagree;Agree;Agree;Agree;Strongly agree;Agree;Neutral;Yes;Weekend (Sat & Sun);45 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Important;Important;Moderately Important;Moderately Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
24;Female;Married;Employee;More than 50000;Ph.D;4;129.438;775.738;560004;Food delivery apps; Direct call;Dinner; Dinner;Veg foods (Breakfast / Lunch / Dinner); Sweets;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Strongly agree;Agree;Neutral;Disagree;Disagree;Agree;Neutral;Disagree;Strongly agree;Agree;Yes;Weekend (Sat & Sun);30 minutes;Agree;Neutral;Agree;Strongly disagree;Agree;Yes;Important;Slightly Important;Moderately Important;Very Important;Very Important;Very Important;Very Important;Important;Yes;Good so far
22;Male;Single;Student;No Income;Graduate;4;129.889;775.741;560020;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Sweets;Disagree;Strongly disagree;Agree;Neutral;Disagree;Disagree;Agree;Disagree;Neutral;Agree;Neutral;Agree;Neutral;Strongly agree;Neutral;Agree;Neutral;Strongly disagree;Neutral;Strongly disagree;Yes;Anytime (Mon-Sun);30 minutes;Strongly Agree;Strongly Agree;Disagree;Strongly disagree;Strongly Agree;Yes;Very Important;Very Important;Unimportant;Slightly Important;Very Important;Moderately Important;Very Important;Important;Yes;Nil
24;Female;Single;Student;10001 to 25000;Post Graduate;3;129.335;775.691;560028;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Sweets;Agree;Neutral;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Agree;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Agree;Neutral;Strongly disagree;Yes;Anytime (Mon-Sun);45 minutes;Strongly Agree;Strongly Agree;Strongly Agree;Disagree;Agree;Yes;Very Important;Very Important;Important;Very Important;Very Important;Very Important;Very Important;Very Important;No;Nil
25;Female;Single;Student;No Income;Post Graduate;3;129.766;775.993;560001;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Neutral;Strongly agree;Disagree;Neutral;Disagree;Neutral;Agree;Agree;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Strongly agree;Strongly agree;Strongly agree;No;Weekend (Sat & Sun);45 minutes;Neutral;Disagree;Neutral;Disagree;Neutral;No;Moderately Important;Very Important;Important;Important;Very Important;Important;Very Important;Very Important;Yes;NIL
23;Male;Single;Student;No Income;Post Graduate;2;128.845;776.036;560076;Food delivery apps; Direct call;Breakfast; Lunch;Veg foods (Breakfast / Lunch / Dinner); Bakery items (snacks);Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Neutral;Disagree;Neutral;Agree;Strongly agree;Agree;Agree;Agree;Agree;Agree;Agree;Neutral;Agree;Disagree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Agree;Agree;Agree;Agree;No;Important;Very Important;Slightly Important;Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
26;Male;Single;Student;No Income;Post Graduate;4;130.019;775.713;560003;Walk-in; Direct call;Dinner; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Strongly agree;Strongly disagree;Neutral;Agree;Neutral;Strongly disagree;Agree;Strongly disagree;Strongly agree;Agree;Agree;Strongly agree;Strongly agree;Neutral;Yes;Anytime (Mon-Sun);30 minutes;Neutral;Neutral;Strongly Agree;Agree;Neutral;No;Important;Very Important;Moderately Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
24;Female;Single;Student;25001 to 50000;Post Graduate;3;13.102;775.864;560064;Walk-in; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Neutral;Strongly agree;Neutral;Neutral;Strongly agree;Agree;Strongly agree;Neutral;Agree;Disagree;Agree;Agree;Disagree;Disagree;Disagree;Strongly disagree;Strongly disagree;Strongly disagree;Yes;Anytime (Mon-Sun);45 minutes;Agree;Strongly Agree;Strongly Agree;Strongly disagree;Strongly Agree;Yes;Important;Very Important;Very Important;Very Important;Very Important;Important;Very Important;Very Important;Yes;Nil
26;Male;Single;Student;No Income;Post Graduate;4;129.048;776.821;560036;Food delivery apps; Direct call;Lunch; Snacks;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Strongly agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Agree;Disagree;Neutral;Agree;Yes;Anytime (Mon-Sun);45 minutes;Agree;Agree;Agree;Neutral;Strongly Agree;Yes;Important;Very Important;Slightly Important;Important;Very Important;Very Important;Very Important;Very Important;Yes;NIL
21;Male;Single;Student;No Income;Graduate;4;12.977;775.773;560009;Walk-in; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Disagree;Strongly agree;Neutral;Neutral;Neutral;Disagree;Disagree;Agree;Agree;Agree;Strongly disagree;Disagree;Strongly disagree;No;Weekend (Sat & Sun);30 minutes;Agree;Neutral;Disagree;Strongly Agree;Agree;Yes;Important;Important;Slightly Important;Moderately Important;Very Important;Very Important;Very Important;Very Important;Yes;Nil
22;Female;Single;Student;No Income;Post Graduate;3;12.977;775.773;560009;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Neutral;Neutral;Strongly disagree;Neutral;Neutral;Neutral;Neutral;Strongly agree;Strongly agree;Neutral;Neutral;Neutral;Neutral;Yes;Weekend (Sat & Sun);30 minutes;Strongly Agree;Strongly Agree;Neutral;Strongly Agree;Strongly Agree;Yes;Very Important;Very Important;Very Important;Very Important;Very Important;Very Important;Very Important;Very Important;Yes;NIL
24;Male;Single;Student;No Income;Post Graduate;5;129.337;77.59;560011;Food delivery apps; Direct call;Snacks; Dinner;Veg foods (Breakfast / Lunch / Dinner); Bakery items (snacks);Agree;Agree;Agree;Agree;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Agree;Agree;Agree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;No;Anytime (Mon-Sun);More than 60 minutes;Neutral;Neutral;Agree;Strongly disagree;Agree;Maybe;Unimportant;Slightly Important;Unimportant;Very Important;Slightly Important;Slightly Important;Slightly Important;Slightly Important;Yes;NIL
24;Male;Single;Student;10001 to 25000;Post Graduate;4;129.037;775.376;560061;Food delivery apps; Walk-in;Lunch; Snacks;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Strongly agree;Strongly agree;Strongly agree;Agree;Agree;Agree;Agree;Agree;Neutral;Agree;Agree;Disagree;Disagree;Agree;Agree;Agree;Agree;Neutral;Strongly disagree;Yes;Anytime (Mon-Sun);45 minutes;Neutral;Strongly disagree;Strongly Agree;Agree;Agree;Yes;Important;Important;Moderately Important;Very Important;Very Important;Important;Very Important;Very Important;Yes;Nil
23;Female;Single;Student;No Income;Post Graduate;3;12.977;775.773;560009;Food delivery apps; Walk-in;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Neutral;Agree;Strongly agree;Strongly agree;Disagree;Strongly agree;Strongly agree;Disagree;Agree;Neutral;Neutral;Disagree;Agree;Neutral;Strongly agree;Neutral;Agree;Disagree;Neutral;Disagree;Yes;Weekend (Sat & Sun);45 minutes;Agree;Strongly Agree;Strongly Agree;Strongly disagree;Strongly Agree;Yes;Important;Very Important;Unimportant;Moderately Important;Important;Very Important;Very Important;Important;Yes;NIL
23;Male;Single;Student;No Income;Post Graduate;3;129.343;776.044;560029;Food delivery apps; Direct call;Lunch; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Strongly disagree;Disagree;Disagree;Strongly disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Weekend (Sat & Sun);45 minutes;Neutral;Neutral;Neutral;Strongly Agree;Neutral;Maybe;Very Important;Very Important;Slightly Important;Very Important;Very Important;Important;Very Important;Very Important;Yes;Nil
22;Male;Single;Student;No Income;Post Graduate;3;129.438;775.738;560004;Food delivery apps; Direct call;Breakfast; Lunch;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Agree;Neutral;Neutral;Strongly agree;Neutral;Agree;Neutral;Neutral;Neutral;Neutral;Agree;Neutral;Disagree;Agree;Neutral;Neutral;Agree;Agree;Neutral;Yes;Weekend (Sat & Sun);60 minutes;Agree;Neutral;Neutral;Neutral;Neutral;Yes;Important;Very Important;Unimportant;Moderately Important;Very Important;Moderately Important;Important;Very Important;Yes;NIL
23;Male;Single;Student;No Income;Post Graduate;3;12.977;775.773;560009;Food delivery apps; Direct call;Dinner; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Neutral;Agree;Strongly agree;Strongly agree;Neutral;Agree;Neutral;Disagree;Agree;Agree;Agree;Strongly agree;Neutral;Agree;Strongly agree;Strongly agree;Strongly agree;Strongly agree;Disagree;Yes;Weekend (Sat & Sun);30 minutes;Agree;Agree;Agree;Disagree;Disagree;Yes;Important;Very Important;Moderately Important;Moderately Important;Important;Very Important;Very Important;Very Important;Yes;NIL
24;Female;Single;Student;No Income;Post Graduate;4;129.783;776.408;560038;Food delivery apps; Walk-in;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Ice cream / Cool drinks;Strongly agree;Neutral;Agree;Agree;Agree;Neutral;Strongly agree;Neutral;Disagree;Neutral;Disagree;Neutral;Neutral;Disagree;Neutral;Neutral;Neutral;Neutral;Disagree;Disagree;Yes;Anytime (Mon-Sun);45 minutes;Agree;Agree;Neutral;Disagree;Agree;Maybe;Very Important;Very Important;Slightly Important;Important;Very Important;Important;Very Important;Very Important;Yes;Nil
24;Male;Single;Student;No Income;Post Graduate;5;129.337;77.59;560011;Food delivery apps; Direct call;Snacks; Dinner;Veg foods (Breakfast / Lunch / Dinner); Bakery items (snacks);Agree;Agree;Agree;Agree;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Agree;Agree;Agree;Strongly disagree;Agree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;No;Anytime (Mon-Sun);More than 60 minutes;Neutral;Neutral;Agree;Strongly disagree;Agree;Maybe;Unimportant;Slightly Important;Unimportant;Very Important;Slightly Important;Slightly Important;Slightly Important;Slightly Important;Yes;NIL
