Age;Gender;Marital Status;Occupation;Monthly Income;Educational Qualifications;Family size;latitude;longitude;Pin code;Medium (P1);Medium (P2);Meal(P1);Meal(P2);Perference(P1);Perference(P2);Ease and convenient;Time saving;More restaurant choices;Easy Payment option;More Offers and Discount;Good Food quality;Good Tracking system;Self Cooking;Health Concern;Late Delivery;Poor Hygiene;Bad past experience;Unavailability;Unaffordable;Long delivery time;Delay of delivery person getting assigned;Delay of delivery person picking up food;Wrong order delivered;Missing item;Order placed by mistake;Influence of time;Order Time;Maximum wait time;Residence in busy location;Google Maps Accuracy;Good Road Condition;Low quantity low time;Delivery person ability;Influence of rating;Less Delivery time;High Quality of package;Number of calls;Politeness;Freshness ;Temperature;Good Taste ;Good Quantity;Output;Reviews
22;Female;Single;Student;No Income;Graduate;4;129.983;776.409;560033;Food delivery apps; Direct call;Dinner; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Agree;Agree;Agree;Disagree;Strongly agree;Strongly disagree;Agree;Strongly agree;Strongly agree;Strongly disagree;Agree;Disagree;Disagree;Strongly agree;Strongly agree;Strongly disagree;Yes;Weekdays (Mon-Fri);45 minutes;Strongly Agree;Strongly Agree;Strongly Agree;Strongly disagree;Disagree;Yes;Very Important;Important;Slightly Important;Slightly Important;Very Important;Important;Important;Important;Yes;I feel Swiggy has a good interface for users and the delivery time to my place in Bangalore taken by Swiggy is less than Zomato when ordered from same restaurant 
23;Male;Single;Student;No Income;Graduate;4;129.925;775.633;560021;Food delivery apps; Walk-in;Lunch; Dinner;Veg foods (Breakfast / Lunch / Dinner); Ice cream / Cool drinks;Agree;Agree;Agree;Agree;Disagree;Agree;Agree;Neutral;Agree;Agree;Agree;Agree;Agree;Disagree;Neutral;Neutral;Agree;Agree;Agree;Neutral;Yes;Weekdays (Mon-Fri);30 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Important;Important;Important;Important;Important;Important;Important;Important;Yes;NIL
21;Male;Single;Student;Below Rs.10000;Post Graduate;3;129.306;775.434;560085;Walk-in; Direct call;Breakfast; Snacks;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly agree;Disagree;Agree;Strongly agree;Strongly agree;Agree;Agree;Strongly agree;Strongly agree;Agree;Strongly agree;Disagree;Disagree;Disagree;Neutral;Disagree;Disagree;Disagree;Agree;Agree;No;Anytime (Mon-Sun);45 minutes;Agree;Strongly Agree;Strongly Agree;Strongly Agree;Strongly Agree;Maybe;Moderately Important;Important;Moderately Important;Moderately Important;Moderately Important;Important;Important;Important;Yes;NIL
25;Male;Single;Student;No Income;Post Graduate;3;12.982;776.256;560008;Walk-in; Direct call;Dinner; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Disagree;Neutral;Neutral;Neutral;Agree;Agree;Neutral;Neutral;Agree;Neutral;Agree;Agree;Neutral;Neutral;Disagree;Disagree;Yes;Anytime (Mon-Sun);30 minutes;Neutral;Neutral;Neutral;Neutral;Neutral;Yes;Slightly Important;Slightly Important;Slightly Important;Slightly Important;Slightly Important;Slightly Important;Slightly Important;Slightly Important;Yes;Nil
22;Female;Single;Student;No Income;Post Graduate;5;129.353;775.585;560050;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Agree;Agree;Agree;Disagree;Agree;Disagree;Agree;Neutral;Agree;Neutral;Disagree;Disagree;Disagree;Agree;Agree;Agree;Yes;Anytime (Mon-Sun);45 minutes;Neutral;Agree;Agree;Agree;Agree;Yes;Moderately Important;Important;Important;Important;Important;Important;Important;Important;Yes;NIL
22;Male;Single;Student;No Income;Post Graduate;3;129.155;775.135;560098;Food delivery apps; Walk-in;Snacks; Dinner;Non Veg foods (Lunch / Dinner); Sweets;Agree;Agree;Agree;Agree;Disagree;Neutral;Agree;Disagree;Strongly agree;Neutral;Agree;Neutral;Disagree;Neutral;Disagree;Disagree;Disagree;Strongly agree;Strongly agree;Agree;No;Anytime (Mon-Sun);45 minutes;Disagree;Strongly Agree;Disagree;Disagree;Strongly Agree;Yes;Slightly Important;Important;Very Important;Very Important;Important;Important;Very Important;Very Important;Yes;Nil
23;Female;Single;Employee;10001 to 25000;Graduate;3;129.854;777.081;560048;Walk-in; Direct call;Snacks; Dinner;Bakery items (snacks); Veg foods (Breakfast / Lunch / Dinner);Neutral;Agree;Agree;Neutral;Neutral;Neutral;Neutral;Neutral;Neutral;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Disagree;Maybe;Weekend (Sat & Sun);30 minutes;Neutral;Neutral;Neutral;Disagree;Neutral;Maybe;Important;Important;Moderately Important;Moderately Important;Important;Important;Important;Important;Yes;NIL
22;Male;Single;Student;Below Rs.10000;Post Graduate;4;130.019;775.713;560003;Walk-in; Direct call;Snacks; Dinner;Veg foods (Breakfast / Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Strongly disagree;Strongly disagree;Strongly disagree;Strongly disagree;Disagree;Neutral;Neutral;Neutral;Neutral;Neutral;Agree;Neutral;Neutral;Neutral;Agree;Agree;Strongly agree;Strongly agree;Strongly agree;Agree;Yes;Weekend (Sat & Sun);15 minutes;Agree;Neutral;Agree;Agree;Neutral;No;Important;Very Important;Moderately Important;Important;Important;Very Important;Very Important;Very Important;Yes;No
22;Female;Single;Employee;10001 to 25000;Graduate;5;129.698;77.75;560066;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Agree;Agree;Agree;Agree;Neutral;Agree;Agree;Neutral;Disagree;Agree;Neutral;Strongly agree;Disagree;Agree;Neutral;Neutral;Agree;Strongly agree;Strongly disagree;Yes;Weekend (Sat & Sun);45 minutes;Strongly Agree;Agree;Agree;Strongly Agree;Disagree;Yes;Important;Important;Important;Very Important;Very Important;Important;Very Important;Very Important;Yes;NIL
22;Male;Single;Student;No Income;Post Graduate;4;129.783;776.408;560038;Food delivery apps; Direct call;Lunch; Dinner;Non Veg foods (Lunch / Dinner); Veg foods (Breakfast / Lunch / Dinner);Agree;Neutral;Agree;Agree;Agree;Neutral;Neutral;Neutral;Agree;Agree;Neutral;Neutral;Neutral;Disagree;Agree;Agree;Agree;Agree;Agree;Agree;Yes;Anytime (Mon-Sun);30 minutes;Agree;Agree;Agree;Neutral;Agree;Yes;Moderately Important;Moderately Important;Slightly Important;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Moderately Important;Yes;NIL
